# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GTF" "-t" "exon" "-g" "transcript_id" "-T" "64" "-p" "-B" "-C" "-Q" "10" "-s" "0" "-a" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/pantoea.gtf" "-o" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/counts/pantoea/counts_pantoea.txt" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_3.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	P_1.sorted.bam	P_2.sorted.bam	P_3.sorted.bam	CK_P_1.sorted.bam	CK_P_2.sorted.bam	CK_P_3.sorted.bam
ACSMXK_00005.t01	CP195787	1	1407	+	1407	9622	10963	8595	912	1014	1063
ACSMXK_00010.t01	CP195787	1412	2512	+	1101	5343	5869	4577	809	745	825
ACSMXK_00015.t01	CP195787	2638	3723	+	1086	2172	2118	1749	245	229	283
ACSMXK_00020.t01	CP195787	3741	6149	+	2409	10376	11656	9665	5277	4723	4000
ACSMXK_00025.t01	CP195787	6321	7130	+	810	808	1080	937	299	306	305
ACSMXK_00030.t01	CP195787	7239	8492	+	1254	1215	1640	1196	196	241	216
ACSMXK_00035.t01	CP195787	8473	8835	-	363	5631	7278	6127	3128	3540	3975
ACSMXK_00040.t01	CP195787	9112	9528	+	417	3370	3514	2887	3350	3777	3623
ACSMXK_00045.t01	CP195787	9729	10658	-	930	1449	1698	1368	629	703	730
ACSMXK_00050.t01	CP195787	10884	11795	-	912	2268	2887	2259	718	810	828
ACSMXK_00055.t01	CP195787	11954	13204	-	1251	4071	4875	4243	885	1034	1170
ACSMXK_00060.t01	CP195787	13285	14259	-	975	1521	1939	1615	386	390	402
ACSMXK_00065.t01	CP195787	14331	15611	-	1281	3270	4215	3390	1552	1661	2143
ACSMXK_00070.t01	CP195787	15645	16598	-	954	484	674	594	141	181	158
ACSMXK_00075.t01	CP195787	16608	17357	-	750	603	680	617	168	114	135
ACSMXK_00080.t01	CP195787	17497	18522	-	1026	473	519	368	201	191	179
ACSMXK_00085.t01	CP195787	18585	19574	-	990	694	796	592	310	293	311
ACSMXK_00090.t01	CP195787	19736	20398	-	663	1279	1470	1233	641	668	815
ACSMXK_00095.t01	CP195787	20515	21075	-	561	1039	1338	976	534	521	569
