# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GTF" "-t" "exon" "-g" "transcript_id" "-T" "64" "-p" "-B" "-C" "-Q" "10" "-s" "0" "-a" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/burkholderia.gtf" "-o" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/counts/burkholderia/counts_burkholderia.txt" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_3.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	B_1.sorted.bam	B_2.sorted.bam	B_3.sorted.bam	CK_B_1.sorted.bam	CK_B_2.sorted.bam	CK_B_3.sorted.bam
ACSMXP_00005.t01	CP195871	1	1584	+	1584	5396	6303	5426	3213	2984	2284
ACSMXP_00010.t01	CP195871	1779	2885	+	1107	12244	14965	11967	8269	7610	5925
ACSMXP_00015.t01	CP195871	3111	5588	+	2478	7512	8165	6879	3984	4007	3309
ACSMXP_00020.t01	CP195871	5781	7826	-	2046	2652	2929	2512	4947	3960	3705
ACSMXP_00025.t01	CP195871	7829	10189	-	2361	2555	2713	2202	3906	3776	3330
ACSMXP_00030.t01	CP195871	10262	12175	-	1914	2899	3717	2905	3055	2579	2279
ACSMXP_00035.t01	CP195871	12175	13902	-	1728	2375	2893	2326	2406	1898	1916
ACSMXP_00040.t01	CP195871	13902	17282	-	3381	5725	6831	5566	4434	3461	3595
ACSMXP_00045.t01	CP195871	17354	20815	-	3462	6132	7547	6349	3900	3127	2852
ACSMXP_00050.t01	CP195871	20849	21412	-	564	796	870	749	481	504	416
ACSMXP_00055.t01	CP195871	21402	22202	-	801	1513	1587	1293	1067	822	829
ACSMXP_00060.t01	CP195871	22195	22407	-	213	569	853	678	548	453	437
ACSMXP_00065.t01	CP195871	22482	22967	+	486	134	154	163	176	107	105
ACSMXP_00070.t01	CP195871	23267	23626	+	360	225	380	256	153	170	146
ACSMXP_00075.t01	CP195871	24131	24637	+	507	383	410	384	676	757	536
ACSMXP_00080.t01	CP195871	24649	25134	+	486	123	133	119	259	232	262
ACSMXP_00085.t01	CP195871	25421	25906	+	486	296	296	239	1314	1660	1044
ACSMXP_00090.t01	CP195871	25927	27516	+	1590	440	426	361	1226	1275	1137
ACSMXP_00095.t01	CP195871	27574	28236	-	663	59	88	46	36	52	34
ACSMXP_00100.t01	CP195871	28409	29065	-	657	335	343	342	254	219	224
ACSMXP_00105.t01	CP195871	29217	32606	+	3390	905	807	763	858	649	571
ACSMXP_00110.t01	CP195871	32757	33032	+	276	152	145	121	450	338	333
ACSMXP_00115.t01	CP195871	33085	33615	-	531	279	241	183	492	386	377
ACSMXP_00120.t01	CP195871	33612	34700	-	1089	500	407	391	787	680	465
ACSMXP_00125.t01	CP195871	34893	35408	+	516	549	627	458	1139	916	800
ACSMXP_00130.t01	CP195871	35405	36196	+	792	408	525	402	740	623	602
ACSMXP_00135.t01	CP195871	36595	37437	-	843	253	361	286	294	271	230
ACSMXP_00140.t01	CP195871	37901	40945	-	3045	1163	1042	1011	1073	949	705
